Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Exam_Score
21,70,Yes,4,94,65
17,78,No,8,88,65
17,75,Yes,6,80,65
21,99,No,8,85,73
11,76,Yes,7,71,62
12,63,Yes,5,69,60
16,64,Yes,9,58,61
19,84,Yes,8,90,67
22,84,No,8,69,70
29,77,No,6,85,69
25,77,Yes,8,65,66
19,62,No,5,90,64
20,81,Yes,4,55,68
14,80,Yes,5,81,67
20,66,No,6,90,64
18,64,Yes,6,83,65
22,65,Yes,6,85,66
15,64,Yes,6,76,63
23,84,Yes,6,78,68
29,68,Yes,4,53,66
19,70,No,7,63,63
22,67,No,7,86,63
24,98,Yes,6,97,74
18,94,Yes,9,77,70
21,69,Yes,7,86,68
20,73,Yes,7,84,66
21,68,No,8,100,63
15,80,No,5,90,67
20,61,No,7,81,62
23,87,No,8,56,71
29,81,No,7,68,72
26,96,Yes,5,63,72
33,67,Yes,6,93,68
15,92,Yes,7,72,66
25,92,No,4,77,70
21,65,Yes,5,98,66
33,76,Yes,10,92,72
15,67,Yes,8,89,64
15,70,No,9,57,63
16,71,No,8,51,61
7,82,Yes,8,56,62
17,76,No,7,87,68
15,98,Yes,8,71,68
21,65,No,9,56,63
22,99,Yes,8,87,70
31,69,Yes,7,60,68
26,91,Yes,7,79,72
17,74,Yes,8,87,67
15,66,No,6,80,61
23,94,No,8,100,69
12,72,Yes,6,72,61
31,86,Yes,6,66,75
27,83,No,5,60,68
17,79,Yes,6,75,65
10,80,Yes,6,93,67
28,89,Yes,10,97,75
19,64,No,6,99,64
27,87,No,8,77,70
10,96,No,6,80,67
16,62,Yes,7,79,63
20,66,No,7,73,65
20,89,Yes,4,58,67
17,77,Yes,5,53,86
24,76,No,6,72,67
14,65,No,5,59,63
19,80,No,7,94,66
21,65,No,7,88,65
23,79,No,5,81,67
24,91,No,7,52,69
13,70,No,6,81,66
11,79,Yes,7,81,64
28,100,Yes,6,72,73
22,87,No,8,83,66
16,94,No,9,93,68
29,77,Yes,8,88,70
21,91,No,9,74,69
27,62,Yes,5,63,67
20,65,No,6,74,62
32,68,No,8,97,68
31,76,Yes,9,91,72
19,94,No,8,51,69
26,74,No,5,89,66
24,86,No,6,59,70
28,88,No,8,79,71
14,83,Yes,7,90,65
24,74,Yes,6,78,70
26,83,No,7,70,65
9,74,No,7,66,62
13,63,Yes,5,65,62
8,100,Yes,8,92,70
18,65,Yes,6,91,66
24,63,Yes,7,91,67
29,95,No,9,64,72
20,72,Yes,7,90,66
30,86,Yes,8,52,68
12,73,No,5,60,62
10,76,Yes,8,76,64
20,70,No,8,70,65
22,74,Yes,6,56,66
20,76,No,7,52,64
8,89,Yes,7,81,67
19,80,Yes,7,66,69
12,98,Yes,8,51,68
24,62,No,6,72,64
22,80,Yes,7,65,68
14,83,Yes,9,79,64
17,97,No,9,96,71
14,62,Yes,8,65,61
20,83,No,7,100,68
26,94,Yes,10,54,73
14,70,Yes,9,54,64
23,95,Yes,7,86,72
17,61,Yes,7,87,65
15,89,Yes,6,71,68
19,97,Yes,8,64,71
14,86,Yes,8,90,65
17,78,No,8,98,66
13,62,No,7,99,63
32,97,No,5,82,74
20,79,Yes,7,87,66
16,61,No,8,91,63
21,88,Yes,6,90,72
19,79,No,7,100,69
19,65,Yes,9,91,67
24,69,No,5,83,66
25,63,No,7,69,64
17,83,No,9,80,67
17,85,No,7,94,69
18,80,Yes,6,65,65
6,93,No,7,52,64
11,94,Yes,8,66,65
28,85,Yes,7,98,72
30,61,Yes,8,90,66
19,88,No,7,59,66
23,77,Yes,7,51,67
22,83,Yes,8,83,69
38,86,Yes,7,79,73
27,74,No,6,54,69
19,97,No,8,98,68
14,65,Yes,7,81,61
10,87,Yes,6,83,63
21,60,Yes,8,93,63
15,97,Yes,9,67,68
11,65,No,7,78,63
16,64,Yes,7,79,66
14,73,Yes,5,98,65
30,75,No,7,57,68
25,69,Yes,7,88,66
20,83,No,7,79,66
29,78,No,6,92,70
20,61,Yes,8,92,61
15,73,Yes,7,51,61
29,92,Yes,10,63,71
23,88,Yes,7,59,67
14,89,Yes,4,73,70
19,88,No,5,95,69
15,72,No,8,50,65
12,64,Yes,6,74,61
26,71,No,6,94,68
31,93,Yes,5,96,74
12,99,No,6,83,67
23,80,Yes,7,91,70
16,60,Yes,8,66,59
17,66,No,5,64,64
16,73,Yes,8,52,66
15,83,Yes,5,75,63
20,63,Yes,8,73,61
15,98,Yes,8,69,68
22,75,No,6,56,65
20,97,No,5,62,69
19,91,Yes,8,60,68
15,90,Yes,6,97,69
17,84,Yes,7,98,67
25,85,No,8,50,70
23,86,Yes,8,59,68
14,85,No,6,94,67
21,82,No,7,52,67
25,99,Yes,6,97,75
10,89,Yes,8,69,63
23,91,No,9,77,70
16,95,Yes,6,88,70
23,69,Yes,7,62,64
15,63,No,8,55,59
9,79,No,7,90,63
10,81,Yes,8,99,67
20,93,Yes,7,83,68
22,78,Yes,5,91,68
15,83,No,7,97,97
24,81,No,9,61,66
10,62,No,7,68,61
20,85,No,9,61,70
13,93,Yes,4,53,65
16,66,Yes,8,87,64
20,84,Yes,6,57,69
15,84,No,6,55,64
18,67,Yes,9,68,61
26,65,No,7,53,64
17,99,No,6,59,68
25,76,No,8,53,67
13,69,No,4,94,62
23,67,Yes,9,89,66
29,87,Yes,10,93,72
5,84,Yes,8,93,68
15,86,Yes,8,97,71
23,64,Yes,7,59,65
19,96,Yes,5,95,68
22,76,No,9,76,65
16,73,Yes,8,58,64
21,78,No,8,83,65
19,76,Yes,8,66,65
27,95,No,7,52,73
22,97,Yes,6,54,72
22,72,Yes,10,71,64
18,95,Yes,7,91,69
17,91,No,6,66,69
17,97,Yes,9,88,70
22,70,No,7,53,83
17,83,No,7,70,68
22,71,Yes,9,56,84
32,93,Yes,8,93,75
25,60,No,8,98,67
18,83,Yes,5,66,69
27,74,No,8,99,71
18,73,Yes,5,88,66
8,86,No,6,50,65
14,94,No,7,74,70
9,84,No,7,92,66
18,94,Yes,8,77,74
20,71,No,8,77,66
30,81,No,8,72,68
22,78,Yes,5,70,68
19,60,No,10,51,62
25,82,Yes,7,81,71
7,86,No,9,88,63
21,84,No,4,90,69
25,89,Yes,7,81,71
11,83,Yes,5,67,66
27,63,No,6,51,64
22,65,Yes,7,95,65
18,84,No,6,71,69
24,71,No,9,80,66
34,63,Yes,10,60,67
21,77,Yes,6,57,65
21,82,Yes,6,54,65
17,73,No,5,90,67
15,89,Yes,9,82,66
25,86,Yes,7,81,69
15,73,No,7,96,64
20,90,Yes,7,58,70
17,86,Yes,7,59,68
23,85,Yes,6,59,68
22,82,Yes,7,71,69
26,60,Yes,7,94,68
17,88,Yes,8,94,70
18,75,Yes,5,80,67
14,98,Yes,7,83,72
17,93,No,6,95,69
22,84,No,7,81,69
25,70,Yes,8,61,64
14,68,Yes,6,85,63
25,74,Yes,9,88,70
28,79,Yes,4,82,70
22,72,Yes,9,64,66
31,81,No,9,70,70
15,67,Yes,6,74,66
13,99,Yes,6,57,68
9,64,No,5,73,61
29,97,No,8,58,72
24,97,No,7,75,69
20,81,Yes,6,53,63
22,89,Yes,5,97,72
13,77,Yes,10,62,65
35,85,Yes,6,73,74
21,74,Yes,7,52,62
21,72,No,7,60,65
24,83,No,6,85,68
23,80,Yes,6,56,66
21,83,Yes,6,81,71
15,71,No,8,50,62
23,75,Yes,6,73,65
31,63,No,9,86,68
28,62,No,6,96,70
30,70,No,8,75,67
17,63,No,4,92,63
14,64,Yes,6,90,63
19,93,No,6,65,69
20,62,Yes,5,94,66
27,86,Yes,7,82,70
10,71,Yes,7,55,63
29,95,Yes,4,97,72
19,79,Yes,10,59,65
17,72,Yes,7,74,67
14,81,Yes,7,73,63
10,75,No,9,81,65
25,83,Yes,8,83,67
20,65,Yes,7,62,80
12,100,Yes,4,68,68
12,77,Yes,8,57,63
18,74,No,6,56,64
30,88,No,9,91,73
18,75,Yes,6,88,66
11,93,Yes,6,72,66
19,78,No,5,55,66
18,89,Yes,5,72,69
4,64,Yes,7,65,59
20,94,No,7,89,68
19,89,No,6,55,67
24,68,Yes,10,73,64
31,66,Yes,8,80,65
27,73,No,7,99,68
18,99,Yes,4,54,70
13,70,No,8,56,62
35,78,Yes,10,99,72
20,61,Yes,7,70,62
20,76,Yes,6,87,68
20,83,No,7,89,69
21,98,No,5,66,73
19,81,No,8,61,69
17,93,Yes,9,64,67
17,82,No,6,88,65
20,62,No,6,92,63
17,73,Yes,7,85,66
16,83,No,6,72,66
21,98,No,5,63,70
18,94,No,6,71,69
29,69,No,6,96,70
4,69,No,9,93,58
27,68,No,9,66,67
27,97,Yes,9,66,73
8,94,No,8,89,66
18,91,Yes,7,71,70
18,76,No,6,79,67
12,80,No,9,71,60
15,79,No,8,62,65
13,70,No,5,59,63
31,80,Yes,6,57,72
26,61,Yes,5,51,62
28,65,Yes,4,64,70
24,95,Yes,8,59,70
13,90,No,5,63,64
17,77,Yes,6,54,64
23,81,Yes,7,67,67
13,75,Yes,7,76,64
24,90,Yes,6,97,72
19,91,No,9,67,66
18,91,No,5,52,66
24,89,Yes,5,68,71
23,68,No,8,91,66
18,74,Yes,6,67,64
27,79,No,6,65,66
14,73,Yes,5,96,62
24,90,No,8,65,70
24,73,Yes,7,99,69
18,66,No,7,92,65
22,76,Yes,6,84,70
12,99,Yes,6,80,70
26,69,Yes,7,61,67
19,84,Yes,8,87,69
17,77,No,9,67,62
26,63,Yes,9,74,67
16,80,No,8,55,65
12,88,No,8,65,65
11,81,Yes,5,76,65
24,95,Yes,6,73,69
12,72,No,8,67,63
31,63,Yes,7,74,66
8,97,Yes,8,87,67
30,75,No,8,73,69
21,83,Yes,8,75,67
19,92,Yes,5,85,70
17,73,Yes,7,92,67
22,89,No,6,76,70
20,65,Yes,6,97,65
27,72,No,4,68,63
21,66,Yes,7,63,64
21,92,Yes,4,85,69
18,69,No,8,59,60
20,89,Yes,9,95,69
22,98,Yes,8,69,72
10,81,Yes,7,85,63
12,82,No,9,79,63
24,78,Yes,7,53,66
21,73,No,6,85,70
19,79,Yes,7,90,68
20,84,Yes,10,99,69
22,99,Yes,5,71,72
17,98,No,5,75,67
15,94,No,8,94,68
21,96,No,7,63,70
14,79,Yes,6,59,68
22,86,Yes,5,57,69
10,96,No,4,99,68
26,76,No,5,64,66
23,98,No,9,88,72
22,77,Yes,7,72,67
26,84,No,4,62,70
30,88,Yes,9,96,73
26,98,Yes,9,73,73
9,70,No,9,78,60
12,90,No,6,61,67
16,81,Yes,7,66,69
20,71,No,7,87,65
23,91,Yes,9,67,70
16,82,Yes,6,75,68
21,86,No,6,56,66
15,73,Yes,8,93,65
16,79,Yes,9,87,64
12,85,Yes,7,88,67
14,76,Yes,8,59,65
12,68,Yes,7,75,64
14,98,No,7,51,67
26,80,Yes,6,66,70
14,89,Yes,5,67,63
36,76,No,6,96,71
23,74,No,6,100,68
21,76,No,7,81,67
15,76,Yes,9,76,67
24,82,Yes,7,72,68
17,82,No,6,51,66
21,80,Yes,8,90,68
35,65,Yes,7,84,70
19,80,No,8,82,67
27,67,Yes,6,90,67
16,65,No,9,96,62
20,97,No,9,69,67
31,84,No,7,71,70
16,86,No,8,99,72
31,76,Yes,9,83,70
24,96,No,6,93,94
17,86,No,7,61,66
24,91,Yes,7,66,69
26,75,No,5,70,68
24,98,No,8,66,71
11,93,No,9,94,69
16,94,No,7,76,67
19,67,Yes,8,98,64
20,71,Yes,9,66,63
24,71,Yes,6,52,66
21,71,Yes,8,57,66
12,94,Yes,6,61,69
22,61,Yes,6,82,64
24,63,No,8,59,62
23,71,Yes,7,69,66
26,68,Yes,8,90,70
25,69,Yes,7,56,67
23,92,No,8,54,68
20,83,No,9,77,67
10,60,No,9,85,62
23,77,Yes,8,96,67
21,76,Yes,8,83,68
22,65,No,7,97,64
12,87,Yes,7,62,64
14,88,No,8,67,66
26,89,Yes,7,92,72
20,89,Yes,8,91,72
24,60,Yes,9,83,66
20,98,No,7,75,72
20,93,Yes,4,51,69
26,96,Yes,10,64,72
17,61,Yes,6,58,60
21,97,Yes,7,53,69
17,92,No,8,89,68
17,93,Yes,9,57,69
18,64,Yes,10,68,62
21,90,Yes,6,99,71
17,98,Yes,9,70,70
28,87,Yes,7,57,68
15,83,Yes,10,84,68
19,98,No,9,90,70
17,78,No,7,64,65
29,84,Yes,6,90,73
21,79,No,4,64,66
26,97,No,8,85,71
11,63,Yes,9,56,62
22,80,Yes,8,71,68
25,87,No,4,76,70
20,92,No,5,86,68
26,83,Yes,8,83,71
17,96,Yes,10,93,70
28,98,Yes,7,59,72
34,63,Yes,9,83,69
18,76,No,5,56,63
17,61,No,7,74,62
29,73,No,7,76,68
29,81,Yes,9,51,70
17,96,Yes,6,54,69
17,94,No,10,92,68
18,65,Yes,7,64,65
12,64,No,5,67,59
14,84,No,5,82,66
14,81,No,6,61,64
15,71,No,8,60,63
20,96,No,6,71,72
21,97,Yes,6,53,67
29,76,No,8,96,94
14,96,Yes,4,97,70
26,75,No,6,72,66
19,89,Yes,5,60,69
20,79,Yes,6,74,64
24,65,No,7,55,63
13,97,No,7,70,71
22,78,No,7,54,65
21,89,Yes,9,85,68
23,75,No,7,64,64
22,61,Yes,10,76,64
35,64,Yes,8,51,66
16,80,No,6,76,68
17,88,No,10,50,67
16,73,Yes,7,96,66
17,88,Yes,10,75,68
16,88,No,7,55,66
27,88,No,7,67,71
29,80,Yes,8,52,71
17,97,No,7,77,68
15,80,No,9,56,64
23,78,Yes,10,74,67
17,68,Yes,4,65,64
24,72,Yes,8,88,68
21,62,No,6,74,62
11,85,Yes,4,92,64
29,70,No,8,97,70
31,72,No,8,98,68
16,91,No,8,63,69
18,73,Yes,8,88,65
22,70,Yes,8,72,67
22,67,No,6,71,65
24,91,No,7,93,71
32,65,Yes,8,57,65
19,78,Yes,9,74,66
15,80,No,7,80,65
12,87,Yes,7,53,65
16,85,No,7,93,68
20,92,Yes,5,66,68
31,62,No,8,83,67
17,72,Yes,5,96,65
21,71,No,8,86,66
20,66,Yes,7,94,63
27,72,Yes,5,53,70
35,72,Yes,5,75,72
17,81,No,6,78,67
17,87,Yes,6,84,67
26,75,Yes,9,56,66
24,89,No,7,83,66
31,73,Yes,8,57,69
24,72,Yes,9,53,62
18,82,No,9,73,66
24,61,No,7,80,64
27,63,Yes,6,98,67
25,77,No,8,85,71
23,98,Yes,6,80,73
26,89,Yes,10,61,68
27,64,Yes,8,58,66
28,94,Yes,7,80,75
24,89,Yes,8,61,72
19,84,Yes,7,85,68
21,93,Yes,6,56,68
27,76,Yes,8,67,69
15,69,Yes,7,89,63
22,80,Yes,10,92,70
18,82,Yes,6,67,66
20,82,Yes,8,60,66
28,83,No,6,98,72
21,98,No,6,88,71
20,96,No,4,90,72
12,95,No,8,61,69
24,92,Yes,6,71,71
24,98,No,9,53,69
33,64,No,8,55,68
18,71,Yes,7,61,61
21,80,No,5,65,68
21,94,Yes,8,100,72
29,80,Yes,6,71,70
19,90,Yes,5,85,73
22,66,No,8,95,67
24,70,No,5,62,65
21,89,No,4,57,68
17,67,Yes,9,62,65
21,74,No,6,94,97
26,71,Yes,4,83,66
14,74,Yes,6,73,67
21,88,No,6,91,70
16,75,Yes,9,62,66
27,82,Yes,5,62,69
11,64,Yes,5,78,62
17,92,Yes,8,90,68
22,75,Yes,6,63,67
29,86,Yes,7,61,68
20,89,Yes,6,74,69
17,68,Yes,10,57,62
31,95,Yes,5,87,75
11,85,No,7,79,65
7,77,No,9,76,63
23,67,No,6,94,66
17,98,No,6,87,71
14,90,Yes,8,57,66
24,68,No,9,71,66
21,74,No,6,66,66
17,92,Yes,9,90,71
12,88,Yes,7,86,68
25,91,No,8,74,71
24,78,Yes,9,91,68
19,89,No,8,71,68
31,75,No,7,90,68
14,68,Yes,6,52,62
11,85,Yes,10,57,65
16,99,No,6,88,71
20,72,Yes,7,56,63
21,78,No,8,84,68
19,87,Yes,8,86,69
22,82,No,10,83,69
12,94,Yes,7,91,71
29,90,No,7,76,71
20,62,Yes,9,95,62
27,100,Yes,7,78,70
22,90,No,8,75,70
23,95,Yes,7,75,73
23,86,Yes,8,96,71
23,94,Yes,8,62,69
24,64,Yes,6,85,66
28,74,Yes,4,62,65
21,95,No,4,55,71
24,68,Yes,4,98,68
19,63,Yes,7,56,64
29,92,Yes,4,84,71
16,93,No,7,71,67
31,67,No,7,92,66
20,94,Yes,8,89,71
11,87,No,8,57,62
21,81,No,8,73,67
16,93,Yes,8,51,67
25,77,Yes,7,71,66
16,68,Yes,7,85,64
17,71,Yes,6,62,62
9,80,No,7,91,65
17,81,Yes,5,53,63
5,92,Yes,9,52,64
10,92,Yes,6,51,65
25,83,No,7,64,68
25,91,Yes,7,73,72
23,68,Yes,9,55,64
14,62,No,4,100,62
20,95,Yes,7,100,69
20,63,Yes,8,76,64
13,70,No,10,78,61
29,88,No,7,96,72
25,76,Yes,6,88,66
19,95,No,10,58,69
20,72,No,8,90,65
21,60,Yes,9,62,64
8,72,Yes,5,72,62
19,83,No,8,77,66
16,75,Yes,5,86,62
14,81,Yes,5,58,66
18,95,No,8,54,70
31,96,Yes,8,93,75
24,71,Yes,6,91,67
17,78,Yes,9,76,66
23,82,No,6,83,71
28,98,Yes,7,86,75
26,100,No,7,74,72
20,69,No,7,63,64
16,89,Yes,9,74,65
24,75,No,5,98,67
22,60,No,6,92,63
25,60,Yes,5,73,62
24,78,Yes,10,61,69
26,80,Yes,7,94,70
17,61,Yes,6,82,63
28,87,Yes,7,70,71
21,72,Yes,8,56,63
32,82,Yes,8,88,71
16,72,Yes,6,66,63
30,67,Yes,6,80,68
21,76,Yes,5,78,65
16,69,Yes,7,85,66
17,81,Yes,9,77,66
18,68,No,6,82,66
23,80,Yes,8,54,65
23,66,No,6,83,66
17,87,Yes,5,60,67
20,90,No,8,70,68
33,64,Yes,10,76,68
30,79,No,8,84,69
23,63,Yes,6,87,64
20,84,No,6,85,67
21,71,Yes,10,55,63
24,81,Yes,7,69,67
14,81,Yes,6,64,64
18,97,No,7,70,66
10,82,No,7,82,65
22,83,Yes,8,60,68
24,76,No,9,75,66
17,98,No,9,94,71
29,91,Yes,7,87,74
13,71,No,7,86,65
11,94,Yes,8,92,68
21,77,Yes,6,70,68
26,93,No,8,88,72
30,93,Yes,7,53,74
17,68,No,8,53,61
26,88,No,10,67,65
20,72,No,8,60,63
19,72,Yes,7,76,66
25,72,Yes,6,59,66
24,89,Yes,7,99,73
11,69,No,5,93,63
29,60,Yes,8,99,68
28,89,Yes,4,90,73
16,67,Yes,8,98,63
22,64,Yes,8,68,65
23,70,Yes,7,75,66
22,75,Yes,6,62,65
